channel_id,video_id,channel_name,duration(sec),domain,link
UCnyyZ67S2zAlQ5IvHtltHpw,dC4B_lGDFeI,Jomuna TN News2,670,Talk-show,https://www.youtube.com/watch?v=dC4B_lGDFeI
UCaAlBCy0zrSAxog67XKtKPw,LTvq2ARvyW8,Jomuna TN News4,596,Talk-show,https://www.youtube.com/watch?v=LTvq2ARvyW8
UCGXRuv7nj5d6AIdQQyShvjg,m62-7jpe8Jk,Business Report,930,Talk-show,https://www.youtube.com/watch?v=m62-7jpe8Jk
UCMMCiB3he7fwFUvLBRMTaZQ,wm_93Z8zJE4,SATV News,118,Talk-show,https://www.youtube.com/watch?v=wm_93Z8zJE4
UCH25komssgyvwIYaDTOM2Aw,lz5G1s2vXKI,politics Talk Show,1222,Talk-show,https://www.youtube.com/watch?v=lz5G1s2vXKI
UCwO2IsXSjviAoYnaYS2dAhQ,g3uq0xdOiKA,NTV Shows,10,Talk-show,https://www.youtube.com/watch?v=g3uq0xdOiKA
UC7rBjpTUGXMC0VP9eK5td8g,IKRV6E2U730,Global TV Program,2703,Talk-show,https://www.youtube.com/watch?v=IKRV6E2U730
UCMMCiB3he7fwFUvLBRMTaZQ,FWhuXiX6ecE,SATV News,190,Talk-show,https://www.youtube.com/watch?v=FWhuXiX6ecE
UCgH2KCRzsLJPNvvDe31mczw,xgkrCe1GCeo,ATN Bangla Natok,223,Talk-show,https://www.youtube.com/watch?v=xgkrCe1GCeo
UCq9KfN9EAMJ7efZ31KwLKqQ,5-yluqn6BGQ,New York Bangla Life,609,Talk-show,https://www.youtube.com/watch?v=5-yluqn6BGQ
UCkRJi9PI4RNYEh3QA64urYA,sVSKWdaXWPs,BanglaVision Entertainment,221,Talk-show,https://www.youtube.com/watch?v=sVSKWdaXWPs
UCkRJi9PI4RNYEh3QA64urYA,hXv9i9kJxJ0,BanglaVision Entertainment,190,Talk-show,https://www.youtube.com/watch?v=hXv9i9kJxJ0
UCgsp7WfVvh94TiDoPagPkrg,EEmFFU8aU3E,Bangla TV ,103,Talk-show,https://www.youtube.com/watch?v=EEmFFU8aU3E
UCq9KfN9EAMJ7efZ31KwLKqQ,46aRw9992Hc,New York Bangla Life,759,Talk-show,https://www.youtube.com/watch?v=46aRw9992Hc
